,2020-03-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,40.04,34.46,33.44,41.98,44.33,43.02,45.65
Expenses,36.58,36.42,43.61,42.47,44.56,42.23,43.63
Operating Profit,3.46,-1.96,-10.17,-0.49,-0.23,0.79,2.02
OPM %,8.64,-5.69,-30.41,-1.17,-0.52,1.84,4.42
Other Income,0.0,-0.02,0.0,-0.38,-0.01,-0.01,-0.01
Interest,0.49,0.5,0.5,0.42,0.38,0.57,0.32
Depreciation,0.86,0.88,1.59,0.13,0.79,0.83,0.73
Profit before tax,2.11,-3.36,-12.26,-1.42,-1.41,-0.62,0.96
Tax %,15.64,16.67,-6.12,-4.93,-4.96,-11.29,106.25
Net Profit,1.79,-2.79,-13.0,-1.49,-1.48,-0.7,-0.06
EPS in Rs,4.4,-6.87,-31.99,-3.67,-3.64,-1.72,-0.15
