,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.97,4.06,4.06,4.06,4.06,4.06,4.06
Reserves,18.64,39.99,43.04,31.15,16.65,14.48,14.42
Borrowings,24.04,24.49,24.6,23.8,21.76,17.51,8.58
Other Liabilities,16.7,17.67,22.39,22.56,31.08,30.49,34.14
Total Liabilities,62.35,86.21,94.09,81.57,73.55,66.54,61.2
Fixed Assets,18.21,18.43,18.38,17.05,16.9,15.75,15.43
CWIP,2.37,2.41,2.41,2.41,0.0,0.0,0.65
Investments,14.83,36.43,44.15,35.71,28.85,24.85,14.56
Other Assets,26.94,28.94,29.15,26.4,27.8,25.94,30.56
Total Assets,62.35,86.21,94.09,81.57,73.55,66.54,61.2
