,2010-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,146,187,187,187,187,187,187,187,187,187,187,187
Reserves,165,258,353,432,517,602,647,771,885,1003,1099,1132
Borrowings,44,57,59,13,21,93,107,134,160,360,489,498
Other Liabilities,477,849,564,488,375,483,883,1306,1228,1230,1089,1292
Total Liabilities,832,1350,1163,1121,1101,1365,1825,2398,2461,2781,2864,3109
Fixed Assets,37,115,244,263,327,344,425,441,429,938,1016,1004
CWIP,16,118,9,7,6,65,175,405,549,132,80,88
Investments,2,2,2,2,2,2,2,22,22,22,22,22
Other Assets,778,1115,907,849,765,954,1223,1530,1461,1688,1746,1995
Total Assets,832,1350,1163,1121,1101,1365,1825,2398,2461,2781,2864,3109
