,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,32.21,36.32,46.62,53.25,62.59,60.24,65.02,66.3,58.11,19.82,33.06,70.02,77.36
Expenses,27.96,32.26,40.05,45.3,53.99,50.86,56.39,57.26,48.41,16.51,23.44,50.48,55.37
Operating Profit,4.25,4.06,6.57,7.95,8.6,9.38,8.63,9.04,9.7,3.31,9.62,19.54,21.99
OPM %,13.19,11.18,14.09,14.93,13.74,15.57,13.27,13.63,16.69,16.7,29.1,27.91,28.43
Other Income,0.38,0.41,0.7,-0.29,0.53,0.83,-0.55,0.43,1.03,1.08,0.28,0.35,0.23
Interest,0.58,0.5,1.32,1.71,2.11,2.55,2.05,1.73,1.71,1.28,1.45,2.18,2.70
Depreciation,3.39,3.67,5.61,4.73,5.04,6.28,5.61,5.57,5.74,5.45,5.4,7.2,8.75
Profit before tax,0.66,0.3,0.34,1.22,1.98,1.38,0.42,2.17,3.28,-2.34,3.05,10.51,10.77
Tax %,-15.15,26.67,-61.76,60.66,56.06,16.67,52.38,51.61,35.06,14.1,3.61,35.68,
Net Profit,0.75,0.23,0.56,0.48,0.86,1.14,0.2,1.04,2.12,-2.01,2.94,6.76,7.08
EPS in Rs,15.0,4.6,11.2,9.6,17.2,22.8,4.08,21.22,43.26,-41.01,59.99,137.93,144.45
