,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,58.29,53.46,50.08,39.2,39.14,39.11
FIIs,13.13,23.64,31.86,39.91,38.83,35.49
DIIs,18.71,13.46,8.49,9.89,12.49,14.13
Public,9.86,9.44,9.57,11.0,9.53,11.24
No. of Shareholders,12227.0,21719.0,25935.0,50248.0,60388.0,107718.0
