,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.41,0.54,0.63,0.46,0.42,1.5,0.97,4.34,5.39,3.44
Expenses,0.39,0.35,0.45,0.43,0.47,2.41,0.64,4.79,4.38,2.85
Operating Profit,0.02,0.19,0.18,0.03,-0.05,-0.91,0.33,-0.45,1.01,0.59
OPM %,4.88,35.19,28.57,6.52,-11.9,-60.67,34.02,-10.37,18.74,17.15
Other Income,0.27,-0.59,1.63,-0.14,0.28,0.13,0.48,1.21,5.64,9.49
Interest,0.02,0.03,0.0,0.0,0.08,0.05,0.0,0.0,0.0,0.00
Depreciation,0.18,0.24,0.26,0.28,0.23,0.19,0.14,0.21,0.36,0.40
Profit before tax,0.09,-0.67,1.55,-0.39,-0.08,-1.02,0.67,0.55,6.29,9.68
Tax %,33.33,10.45,7.74,33.33,75.0,22.55,41.79,16.36,16.53,
Net Profit,0.06,-0.59,1.44,-0.25,-0.02,-0.79,0.39,0.46,5.24,8.25
EPS in Rs,0.06,-0.59,1.44,-0.25,-0.02,-0.79,0.39,0.24,3.39,5.57
