,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,17.8,6.76,0.00,0.00,0.00,7.3,0.0,0.0,220.76
Inventory Days,,,,,,45.86,322.06,102.8,140.28
Days Payable,,,,,,1.91,0.0,0.94,12.26
Cash Conversion Cycle,17.8,6.76,0.00,0.00,0.00,51.25,322.06,101.86,348.78
Working Capital Days,80.12,13.52,-5.79,23.80,373.69,265.23,666.03,84.1,207.89
ROCE %,,-0.10,14.96,-1.94,0.00,-6.45,6.68,3.79,28.03
