,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,13.4,15.62,18.13,18.43
Expenses,8.92,16.05,19.64,21.3
Operating Profit,4.48,-0.43,-1.51,-2.87
OPM %,33.43,-2.75,-8.33,-15.57
Other Income,0.2,0.06,0.54,0.57
Interest,0.02,0.44,0.23,0.26
Depreciation,1.61,1.17,1.02,2.54
Profit before tax,3.05,-1.98,-2.22,-5.1
Tax %,-0.98,0.0,-4.05,2.75
Net Profit,3.08,-1.98,-2.31,-4.96
EPS in Rs,1.87,-1.2,-1.03,-2.2
