,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,50,50,51,63,66,66,66,67,68,68
Reserves,569,561,547,739,954,979,1326,1741,1990,2168
Borrowings,8,23,232,159,133,300,82,20,27,45
Other Liabilities,304,378,353,400,478,525,567,764,802,774
Total Liabilities,931,1012,1184,1361,1631,1869,2042,2593,2887,3055
Fixed Assets,213,258,278,274,334,368,397,435,494,908
CWIP,54,66,138,196,228,312,349,344,370,0
Investments,179,77,66,69,68,77,146,416,365,409
Other Assets,485,611,703,822,1001,1113,1150,1398,1657,1738
Total Assets,931,1012,1184,1361,1631,1869,2042,2593,2887,3055
