,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-18,-101,-65,49,-50,44,463,453,174
Cash from Investing Activity,132,31,-103,-154,1,-99,-193,-399,-177
Cash from Financing Activity,-8,16,146,143,63,80,-225,-52,-50
Net Cash Flow,106,-54,-22,38,14,24,45,1,-52
