,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,8,16,16,16,16,49,49
Reserves,86,91,110,129,135,138,145,159,152,177
Borrowings,93,96,81,81,77,90,82,53,62,62
Other Liabilities,78,61,60,81,100,82,82,112,79,78
Total Liabilities,265,256,259,298,328,325,325,342,342,366
Fixed Assets,87,92,89,94,106,116,107,106,109,121
CWIP,6,3,4,8,13,10,11,12,27,41
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,172,161,166,196,209,200,208,224,206,204
Total Assets,265,256,259,298,328,325,325,342,342,366
