,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,266,269,235,273,335.0,278.0,307.0,333.0,399.0,360
Expenses,278,239,203,238,293.0,255.0,268.0,292.0,347.0,317
Operating Profit,-12,30,32,35,42.0,23.0,40.0,41.0,52.0,43
OPM %,-4,11,13,13,13.0,8.0,13.0,12.0,13.0,12
Other Income,2,-2,5,9,2.0,5.0,-3.0,4.0,6.0,6
Interest,10,14,10,9,11.0,13.0,11.0,8.0,6.0,6
Depreciation,7,9,9,10,11.0,14.0,16.0,16.0,17.0,17
Profit before tax,-27,5,18,25,22.0,0.0,10.0,21.0,35.0,26
Tax %,19,5,-6,23,30.0,-4600.0,28.0,31.0,31.0,
Net Profit,-22,5,19,19,15.0,3.0,7.0,15.0,24.0,18
EPS in Rs,,,,,3.17,0.68,1.5,2.99,5.01,3.74
