,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,313.0,318.0,262.0,194.0,322.0,341.0,404
Expenses,149.0,165.0,136.0,113.0,205.0,211.0,241
Operating Profit,164.0,153.0,126.0,81.0,116.0,131.0,163
OPM %,52.0,48.0,48.0,42.0,36.0,38.0,40
Other Income,3.0,2.0,3.0,6.0,3.0,56.0,68
Interest,12.0,12.0,11.0,9.0,5.0,5.0,7
Depreciation,103.0,98.0,90.0,88.0,24.0,30.0,35
Profit before tax,52.0,44.0,28.0,-10.0,91.0,152.0,190
Tax %,96.0,69.0,-10.0,744.0,20.0,17.0,
Net Profit,2.0,14.0,31.0,65.0,72.0,125.0,158
EPS in Rs,199.0,1358.0,3110.0,10.12,11.27,19.58,24.61
