,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,32,32,32,32
Reserves,2,10,37,1030,1098,1338,1401
Borrowings,231,102,83,41,32,70,91
Other Liabilities,1086,1106,1115,70,99,147,249
Total Liabilities,1319,1218,1236,1173,1260,1587,1773
Fixed Assets,1085,980,948,868,868,1007,950
CWIP,1,4,3,1,5,20,66
Investments,64,10,9,29,73,48,84
Other Assets,169,223,276,276,314,512,673
Total Assets,1319,1218,1236,1173,1260,1587,1773
