,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,46.61,48.29,46.61,35.34,23.9,23.9,50.73,50.73
DIIs,2.0,2.07,2.0,2.0,2.0,0.55,0.55,0.55
Public,51.39,49.64,51.39,62.66,74.1,75.55,48.72,48.73
No. of Shareholders,9558.0,9472.0,9431.0,9416.0,9401.0,10545.0,10434.0,10416.0
