,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,53.0,59,78,33,53,36,27
Inventory Days,20.0,24,26,43,34,24,30
Days Payable,184.0,227,292,286,274,174,212
Cash Conversion Cycle,-111.0,-144,-188,-210,-187,-114,-155
Working Capital Days,7.0,-2,-136,116,-32,-13,-39
ROCE %,,4,6,4,7,12,15
