,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,29.94,26.78,12.5,22.08,27.71,31.47,42.7,39.57,29.9,19.89,13.41,14.84,14.25
Expenses,25.01,42.19,10.07,19.29,23.08,23.87,31.63,33.06,24.63,17.49,14.22,13.45,14.16
Operating Profit,4.93,-15.41,2.43,2.79,4.63,7.6,11.07,6.51,5.27,2.4,-0.81,1.39,0.09
OPM %,16.47,-57.54,19.44,12.64,16.71,24.15,25.93,16.45,17.63,12.07,-6.04,9.37,0.63
Other Income,0.19,1.45,0.04,0.07,0.21,0.24,0.32,0.43,0.28,0.29,2.76,0.23,0.26
Interest,0.62,0.38,0.42,0.42,0.45,0.28,1.71,1.81,0.54,0.23,0.08,0.17,0.11
Depreciation,1.39,1.41,0.8,0.97,0.75,0.85,0.94,1.76,2.64,2.38,1.71,0.96,0.87
Profit before tax,3.11,-15.75,1.25,1.47,3.64,6.71,8.74,3.37,2.37,0.08,0.16,0.49,-0.63
Tax %,34.73,-0.63,34.4,-46.26,-2.2,2.09,18.76,30.56,20.68,25.0,62.5,38.78,
Net Profit,2.03,-15.85,0.82,2.14,3.71,6.57,7.09,2.34,1.88,0.06,0.07,0.3,-0.73
EPS in Rs,3.13,-23.44,1.1,2.85,4.95,8.76,9.45,3.12,2.51,0.08,0.09,0.4,-0.98
