,2017-03-01,2018-03-01,2018-06-01,2023-03-01,2023-09-01
Promoters,11.41,11.41,11.41,11.41,11.41
FIIs,2.98,2.1,1.77,0.77,0.77
DIIs,70.75,70.21,69.87,66.65,66.65
Public,14.86,16.28,16.96,21.17,21.17
No. of Shareholders,22644.0,24186.0,24288.0,23136.0,18655.0
