,2022-03-01,2023-03-01
Debtor Days,465.84,299.75
Inventory Days,172.62,156.18
Days Payable,458.24,221.98
Cash Conversion Cycle,180.22,233.94
Working Capital Days,238.01,295.93
ROCE %,,3.86
