,2022-03-01,2023-03-01
Sales,10.75,14.32
Expenses,10.61,13.21
Operating Profit,0.14,1.11
OPM %,1.3,7.75
Other Income,0.0,0.11
Interest,0.39,0.33
Depreciation,0.94,0.64
Profit before tax,-1.19,0.25
Tax %,-5.88,44.0
Net Profit,-1.26,0.14
EPS in Rs,-2.42,0.27
