,2023-03-01,2023-09-01
Equity Capital,8.74,8.74
Reserves,-7.85,-8.25
Borrowings,7.1,7.15
Other Liabilities,5.69,6.8100000000000005
Total Liabilities,13.68,14.45
Fixed Assets,1.75,8.66
CWIP,6.95,0.0
Investments,0.0,0.0
Other Assets,4.98,5.79
Total Assets,13.68,14.45
