,Mar 2023,TTM
Sales,1.45,1.89
Expenses,4.79,2.72
Operating Profit,-3.34,-0.83
OPM %,-230.34,-43.92
Other Income,0.0,0.20
Interest,0.0,0.05
Depreciation,0.14,0.12
Profit before tax,-3.48,-0.80
Tax %,2.01,
Net Profit,-3.41,-0.70
EPS in Rs,-3.9,-1.08
