,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,228.58,246.57,213.99,206.3,251.9,245.74,212.68,186.31,236.5,224.92,201.98,187.34,201.11
Expenses,212.06,230.67,205.16,190.3,241.09,230.74,200.43,180.18,226.01,209.48,188.79,175.9,192.52
Operating Profit,16.52,15.9,8.83,16.0,10.81,15.0,12.25,6.13,10.49,15.44,13.19,11.44,8.59
OPM %,7.23,6.45,4.13,7.76,4.29,6.1,5.76,3.29,4.44,6.86,6.53,6.11,4.27
Other Income,0.19,0.15,0.16,0.08,2.22,0.03,2.05,0.08,0.04,0.06,0.04,1.17,0.05
Interest,0.44,0.51,0.4,0.6,0.59,0.72,0.51,0.72,0.89,0.58,0.99,1.2,0.78
Depreciation,4.41,4.88,5.0,5.14,5.31,5.29,5.27,5.25,5.56,5.58,5.52,5.23,5.34
Profit before tax,11.86,10.66,3.59,10.34,7.13,9.02,8.52,0.24,4.08,9.34,6.72,6.18,2.52
Tax %,24.96,23.64,52.37,26.98,26.51,25.28,25.82,8.33,26.23,26.87,25.3,26.54,25.79
Net Profit,8.9,8.14,1.71,7.55,5.24,6.74,6.32,0.22,3.01,6.83,5.02,4.54,1.87
EPS in Rs,3.65,3.34,0.7,3.1,2.15,2.77,2.59,0.09,1.24,2.8,2.06,1.86,0.77
