,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,15.83,16.33,16.69,9.6,10.49,12.06,20.46,23.06,24.35,23.55,27.51,24.88
Expenses,15.56,16.14,16.38,9.51,10.49,11.78,19.99,22.91,24.1,23.32,27.37,24.61
Operating Profit,0.27,0.19,0.31,0.09,0.0,0.28,0.47,0.15,0.25,0.23,0.14,0.27
OPM %,1.71,1.16,1.86,0.94,0.0,2.32,2.3,0.65,1.03,0.98,0.51,1.09
Other Income,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.02,0.0,0.0,0.02
Interest,0.01,0.06,0.06,0.02,0.0,0.01,0.05,0.04,0.02,0.01,0.02,0.01
Depreciation,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Profit before tax,0.2,0.07,0.19,0.01,-0.03,0.21,0.36,0.1,0.19,0.16,0.06,0.22
Tax %,-5.0,28.57,-5.26,-100.0,33.33,66.67,-2.78,-10.0,89.47,31.25,16.67,4.55
Net Profit,0.21,0.06,0.19,0.02,-0.02,0.07,0.37,0.11,0.02,0.12,0.06,0.22
EPS in Rs,0.4,0.11,0.36,0.04,-0.04,0.13,0.7,0.21,0.04,0.23,0.11,0.42
