,2023-06-01,2023-09-01
Sales,48.21,47.99
Expenses,45.41,44.05
Operating Profit,2.8,3.94
OPM %,5.81,8.21
Other Income,0.09,0.03
Interest,1.2,1.2
Depreciation,0.33,0.37
Profit before tax,1.36,2.4
Tax %,26.47,35.42
Net Profit,1.0,1.55
EPS in Rs,0.33,0.51
