,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.63,26.7,30.75,41.54,36.64,24.63,35.78,51.24,49.27
Expenses,12.93,26.58,30.23,35.52,32.69,23.98,35.08,45.39,42.30
Operating Profit,-0.3,0.12,0.52,6.02,3.95,0.65,0.7,5.85,6.97
OPM %,-2.38,0.45,1.69,14.49,10.78,2.64,1.96,11.42,14.15
Other Income,1.0,0.81,0.34,0.43,1.12,1.43,0.82,5.61,3.00
Interest,0.0,0.04,0.01,0.0,0.04,0.08,0.07,0.16,0.11
Depreciation,0.23,0.3,0.29,0.32,0.7,0.73,0.68,0.77,0.95
Profit before tax,0.47,0.59,0.56,6.13,4.33,1.27,0.77,10.53,8.91
Tax %,27.66,-32.2,7.14,0.0,16.17,-1.57,-12.99,8.36,
Net Profit,0.34,0.79,0.53,6.12,3.63,1.29,0.87,9.65,7.64
EPS in Rs,8.42,20.05,5.69,89.6,75.99,20.54,12.62,178.96,152.23
