,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Reserves,14.84,18.18,18.28,21.86,24.73,25.12,27.5,34.49,36.73
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,1.2,3.05,3.78,5.35,7.24,7.72,5.45,8.7,8.91
Total Liabilities,16.44,21.63,22.46,27.61,32.37,33.24,33.35,43.59,46.04
Fixed Assets,0.54,2.2,2.23,2.66,3.56,3.1,2.5700000000000003,3.63,4.26
CWIP,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Investments,2.19,2.9,3.06,7.43,8.12,10.13,9.38,19.02,20.25
Other Assets,13.71,16.53,17.17,17.44,20.69,20.01,21.4,20.94,21.53
Total Assets,16.44,21.63,22.46,27.61,32.37,33.24,33.35,43.59,46.04
