,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.34,19.69,20.77,25.41,17.26,15.51,10.07,10.08,5.43,1.12,4.29,7.15,7.77
Expenses,13.41,17.43,18.79,22.45,14.89,12.66,7.87,7.94,3.66,2.33,4.96,5.69,5.50
Operating Profit,1.93,2.26,1.98,2.96,2.37,2.85,2.2,2.14,1.77,-1.21,-0.67,1.46,2.27
OPM %,12.58,11.48,9.53,11.65,13.73,18.38,21.85,21.23,32.6,-108.04,-15.62,20.42,29.21
Other Income,0.23,0.06,0.21,0.8,0.88,0.28,0.63,0.36,0.07,2.27,0.37,0.03,0.04
Interest,0.78,0.83,1.23,1.39,1.6,1.57,1.68,1.81,1.33,0.49,0.24,0.27,0.28
Depreciation,0.29,0.26,0.34,0.69,0.69,0.69,0.65,0.53,0.48,0.46,1.12,1.09,1.09
Profit before tax,1.09,1.23,0.62,1.68,0.96,0.87,0.5,0.16,0.03,0.11,-1.66,0.13,0.94
Tax %,36.7,42.28,48.39,27.38,37.5,33.33,28.0,12.5,0.0,245.45,-13.86,-361.54,
Net Profit,0.7,0.71,0.32,1.22,0.6,0.58,0.37,0.14,0.04,-0.17,-1.89,0.6,1.51
EPS in Rs,2.06,1.25,0.53,1.51,0.49,0.48,0.25,0.09,0.03,-0.1,-1.08,0.34,0.86
