,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25.51,34.58,43.63,45.81,40.94,32.31,51.02,51.18,48.55,53.44,71.71,78.3,70.84
Expenses,23.0,31.98,40.61,42.2,37.12,28.75,46.6,47.37,44.85,48.92,67.31,73.11,64.79
Operating Profit,2.51,2.6,3.02,3.61,3.82,3.56,4.42,3.81,3.7,4.52,4.4,5.19,6.05
OPM %,9.84,7.52,6.92,7.88,9.33,11.02,8.66,7.44,7.62,8.46,6.14,6.63,8.54
Other Income,0.03,0.1,0.11,0.05,0.11,0.2,0.38,0.41,0.16,0.1,0.43,0.78,0.63
Interest,0.68,0.69,0.94,1.2,1.41,1.27,1.21,1.4,1.62,1.56,1.65,2.38,2.28
Depreciation,0.27,0.33,0.42,0.56,0.82,0.99,1.03,1.04,1.07,1.09,1.16,1.31,1.30
Profit before tax,1.59,1.68,1.77,1.9,1.7,1.5,2.56,1.78,1.17,1.97,2.02,2.28,3.10
Tax %,33.33,36.9,35.03,35.26,28.82,34.67,34.77,20.22,26.5,32.49,0.0,0.0,
Net Profit,1.05,1.06,1.16,1.23,1.21,0.99,1.68,1.42,0.86,1.33,2.02,2.28,2.14
EPS in Rs,2.5,2.52,2.76,2.93,2.88,2.36,4.0,3.38,2.05,3.17,4.81,5.43,5.10
