,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,6.96,6.96,6.64
Reserves,-0.86,-0.79,-0.73,-0.89,-0.8200000000000001,1.32,1.06,0.8300000000000001,0.62,0.41,1.24,1.69,1.93
Borrowings,0.15,0.12,0.03,0.41,0.35,0.65,0.0,0.0,0.0,0.0,3.92,3.61,7.53
Other Liabilities,0.29,0.12,0.08,0.09,0.29,0.13,3.18,0.7000000000000001,0.42,0.06,0.46,0.16,0.39
Total Liabilities,4.61,4.48,4.41,4.64,4.85,7.13,9.27,6.5600000000000005,6.07,5.5,12.58,12.42,16.81
Fixed Assets,1.59,1.4,1.21,1.63,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,2.91,2.91,2.91,2.91,3.01,7.41,7.52
Other Assets,3.02,3.08,3.2,3.01,3.33,7.13,6.36,3.65,3.16,2.59,9.57,5.01,9.29
Total Assets,4.61,4.48,4.41,4.64,4.85,7.13,9.27,6.5600000000000005,6.07,5.5,12.58,12.42,16.81
