,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.48,0.22,0.46,0.42,0.46,0.47,0.44,0.38,0.37,0.41,0.26,0.21
Expenses,0.44,0.13,0.37,0.26,0.33,0.3,0.24,0.22,0.29,0.31,0.18,0.23
Operating Profit,0.04,0.09,0.09,0.16,0.13,0.17,0.2,0.16,0.08,0.1,0.08,-0.02
OPM %,8.33,40.91,19.57,38.1,28.26,36.17,45.45,42.11,21.62,24.39,30.77,-9.52
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.01,0.01
Interest,0.0,0.05,0.02,0.0,0.0,0.0,0.07,0.02,0.0,0.03,0.09,0.00
Depreciation,0.02,0.02,0.06,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.00,0.00
Profit before tax,0.02,0.02,0.01,0.14,0.11,0.15,0.12,0.15,0.08,0.07,0.00,-0.01
Tax %,50.0,50.0,100.0,35.71,27.27,26.67,33.33,26.67,25.0,28.57,,
Net Profit,0.01,0.02,0.01,0.09,0.08,0.12,0.08,0.11,0.06,0.05,0.00,-0.01
EPS in Rs,1.0,0.09,0.03,0.24,0.21,0.32,0.21,0.29,0.16,0.13,0.00,-0.02
