,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.05,1.14,1.89,1.89,1.89,1.89,1.89,3.79,3.79,3.79,3.79,3.79
Reserves,0.01,1.13,1.89,1.98,2.06,2.16,2.24,0.46,0.52,0.58,0.58,0.58
Borrowings,0.0,1.29,0.67,1.39,0.08,0.64,0.63,0.03,0.03,1.0,1.18,1.2
Other Liabilities,1.12,0.04,0.05,0.36,0.58,0.19,0.18,0.74,0.75,0.8300000000000001,0.77,0.8
Total Liabilities,1.18,3.6,4.5,5.62,4.61,4.88,4.94,5.02,5.09,6.2,6.32,6.37
Fixed Assets,0.02,0.07,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.24,0.24,0.04,0.04,0.48,0.48,0.48,0.48,0.48,0.48
Other Assets,1.16,3.53,4.23,5.36,4.55,4.82,4.45,4.53,4.6,5.71,5.83,5.88
Total Assets,1.18,3.6,4.5,5.62,4.61,4.88,4.94,5.02,5.09,6.2,6.32,6.37
