,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,11,13,13,13,11,11,11
Reserves,49,58,70,75,81,68,77,81
Borrowings,36,37,35,33,38,55,56,52
Other Liabilities,53,60,54,55,41,59,67,70
Total Liabilities,148,168,172,176,173,192,210,214
Fixed Assets,61,68,68,62,68,67,64,62
CWIP,1,4,2,11,1,1,0,1
Investments,0,0,0,0,0,0,0,0
Other Assets,86,95,102,104,103,124,146,150
Total Assets,148,168,172,176,173,192,210,214
