,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,32.42,39.13,56.29,35.24,45.98,50.0,66.09,59.54,66.77,66.25,74.93,65.19,70.03
Expenses,26.63,34.05,50.65,31.63,41.95,46.03,59.98,56.28,62.02,60.9,69.57,61.0,65.05
Operating Profit,5.79,5.08,5.64,3.61,4.03,3.97,6.11,3.26,4.75,5.35,5.36,4.19,4.98
OPM %,17.86,12.98,10.02,10.24,8.76,7.94,9.24,5.48,7.11,8.08,7.15,6.43,7.11
Other Income,0.25,0.13,2.21,0.74,0.73,1.04,2.33,2.73,0.86,0.66,1.4,1.11,1.98
Interest,0.39,0.3,2.14,0.72,0.87,1.24,1.42,1.25,1.17,1.23,1.46,1.0,1.19
Depreciation,2.3,2.37,2.44,1.91,1.91,2.0,2.69,2.07,2.09,2.13,2.14,1.99,2.01
Profit before tax,3.35,2.54,3.27,1.72,1.98,1.77,4.33,2.67,2.35,2.65,3.16,2.31,3.76
Tax %,20.3,24.41,22.63,15.12,30.3,19.77,29.79,25.09,20.43,20.0,21.52,31.6,25.53
Net Profit,2.67,1.92,2.53,1.46,1.37,1.43,3.03,2.01,1.86,2.11,2.47,1.57,2.81
EPS in Rs,2.0,1.44,1.9,1.1,1.03,1.35,2.85,1.89,1.75,1.99,2.33,1.48,2.65
