,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,68.0,66,74,73,81,68,66
Inventory Days,91.0,84,131,129,143,143,132
Days Payable,117.0,113,152,161,156,173,147
Cash Conversion Cycle,42.0,36,53,40,68,39,51
Working Capital Days,45.0,47,62,48,79,60,63
ROCE %,,6,7,7,9,10,10
