,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.2,16.43,18.95,19.58,22.19,27.14,27.2,29.58,50.38,73.5,73.08,78.15,65.22
Expenses,11.55,15.53,17.49,17.76,20.39,24.6,23.65,25.38,44.82,65.28,67.1,69.41,54.08
Operating Profit,0.65,0.9,1.46,1.82,1.8,2.54,3.55,4.2,5.56,8.22,5.98,8.74,11.14
OPM %,5.33,5.48,7.7,9.3,8.11,9.36,13.05,14.2,11.04,11.18,8.18,11.18,17.08
Other Income,0.1,0.16,0.1,0.31,0.45,0.1,0.27,0.46,1.78,0.62,1.63,2.18,1.84
Interest,0.2,0.44,0.87,1.11,1.01,0.84,0.84,0.91,0.63,0.52,0.48,0.43,0.23
Depreciation,0.28,0.26,0.29,0.4,0.42,0.47,0.89,0.93,1.03,0.93,1.16,1.25,1.25
Profit before tax,0.27,0.36,0.4,0.62,0.82,1.33,2.09,2.82,5.68,7.39,5.97,9.24,11.50
Tax %,37.04,36.11,45.0,37.1,35.37,33.83,28.23,28.01,28.87,25.58,27.97,25.11,
Net Profit,0.17,0.22,0.22,0.4,0.53,0.87,1.5,2.04,4.04,5.5,4.3,6.91,8.42
EPS in Rs,1.71,1.47,1.47,2.68,3.55,2.13,3.66,4.98,9.87,13.43,10.5,16.88,20.56
