,2017-03-01,2023-03-01,2023-09-01
Equity Capital,22,13.0,13
Reserves,152,,113
Borrowings,234,,115
Other Liabilities,110,,75
Total Liabilities,517,,315
Fixed Assets,296,,191
CWIP,0,,0
Investments,1,,2
Other Assets,221,,122
Total Assets,517,,315
