,2016-03-01,2016-06-01,2016-09-01,2016-12-01,2017-03-01,2017-06-01,2017-09-01,2022-09-01,2023-06-01,2023-09-01
Sales,119.39,118.95,131.74,133.03,175.02,122.72,149.32,91.14,90.16,98.73
Expenses,108.07,103.71,112.32,117.33,156.29,104.73,133.88,88.26,90.41,93.13
Operating Profit,11.32,15.24,19.42,15.7,18.73,17.99,15.44,2.88,-0.25,5.6
OPM %,9.48,12.81,14.74,11.8,10.7,14.66,10.34,3.16,-0.28,5.67
Other Income,0.4,0.14,0.11,1.55,0.71,0.1,0.29,0.02,0.51,0.47
Interest,6.68,6.21,6.41,6.72,7.57,6.6,6.71,4.28,2.91,2.94
Depreciation,4.07,4.49,4.5,4.32,4.38,4.55,4.53,3.89,3.71,3.53
Profit before tax,0.97,4.68,8.62,6.21,7.49,6.94,4.49,-5.27,-6.36,-0.4
Tax %,22.68,8.97,17.52,18.36,50.47,13.11,28.73,19.73,7.23,-545.0
Net Profit,0.76,4.26,7.12,5.08,3.7,6.03,3.2,-4.24,-5.9,-2.59
EPS in Rs,0.35,1.97,3.3,2.35,1.71,2.79,1.48,-3.27,-4.55,-2.0
