,2017-03-01,2023-03-01
Sales,553.0,411.0
Expenses,483.0,403.0
Operating Profit,69.0,8.0
OPM %,12.0,2.0
Other Income,2.0,16.0
Interest,27.0,13.0
Depreciation,18.0,14.0
Profit before tax,27.0,-3.0
Tax %,44.0,-90.0
Net Profit,15.0,-7.0
EPS in Rs,6.97,-5.04
