,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,326,331,360,538
Expenses,230,232,247,389
Operating Profit,96,99,113,149
OPM %,30,30,31,28
Other Income,7,5,3,5
Interest,3,4,6,4
Depreciation,2,2,3,3
Profit before tax,98,98,107,147
Tax %,26,27,27,26
Net Profit,72,72,79,109
EPS in Rs,,,,
