,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.16,9.45,15.57,13.41,11.26,12.36,11.75,10.29,4.23,4.25,4.53,0.00,0.65
Expenses,0.93,0.87,1.13,0.6,1.11,1.23,1.1,1.89,52.58,9.75,35.4,0.96,1.05
Operating Profit,9.23,8.58,14.44,12.81,10.15,11.13,10.65,8.4,-48.35,-5.5,-30.87,-0.96,-0.40
OPM %,90.85,90.79,92.74,95.53,90.14,90.05,90.64,81.63,-1143.03,-129.41,-681.46,,-61.54
Other Income,2.06,0.56,0.48,0.32,0.21,1.73,0.03,1.19,0.0,0.0,0.09,0.00,0.00
Interest,10.78,8.5,7.89,4.94,8.04,8.56,8.6,6.07,3.92,2.24,1.53,1.53,1.11
Depreciation,0.01,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.01
Profit before tax,0.5,0.63,7.02,8.18,2.29,4.27,2.06,3.5,-52.29,-7.77,-32.33,-2.51,-1.52
Tax %,22.0,-3.17,20.37,17.11,13.54,15.69,18.45,29.43,-0.06,0.0,-1.98,0.00,
Net Profit,0.39,0.64,5.59,6.78,1.98,3.6,1.69,2.47,-52.32,-7.77,-32.97,-2.51,-1.52
EPS in Rs,0.3,0.5,4.34,5.27,1.54,2.8,1.31,1.92,-40.64,-6.04,-25.61,-1.95,-1.18
