,2023-06-01
Depreciation,0.03
EPS in Rs,7.59
Expenses,7.33
Interest,0.05
Net Profit,0.94
OPM %,3.55
Operating Profit,0.27
Other Income,0.75
Profit before tax,0.94
Sales,7.6
Tax %,0.0
