,2021-03-01,2022-03-01,2023-03-01
Sales,13.8,31.23,33.44
Expenses,14.0,29.12,31.76
Operating Profit,-0.2,2.11,1.68
OPM %,-1.45,6.76,5.02
Other Income,0.68,1.53,1.08
Interest,0.47,0.82,0.84
Depreciation,0.04,0.1,0.17
Profit before tax,-0.03,2.72,1.75
Tax %,866.67,3.68,-0.57
Net Profit,0.23,2.62,1.76
EPS in Rs,1.86,21.16,14.21
