,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,18.31,15.26,18.8,23.45,28.53,29.99,44.52,47.51,60.29,56.75,63.51,66.95,62.64
Expenses,16.89,13.91,18.81,23.62,28.9,28.3,43.09,45.48,56.58,52.61,58.98,62.66,59.23
Operating Profit,1.42,1.35,-0.01,-0.17,-0.37,1.69,1.43,2.03,3.71,4.14,4.53,4.29,3.41
OPM %,7.76,8.85,-0.05,-0.72,-1.3,5.64,3.21,4.27,6.15,7.3,7.13,6.41,5.44
Other Income,0.8,0.94,2.12,1.94,2.05,0.08,0.27,0.29,0.07,0.04,0.1,0.21,0.15
Interest,1.23,1.35,1.14,0.72,0.51,0.52,0.53,0.89,1.62,1.98,2.36,2.19,2.29
Depreciation,0.85,0.86,0.88,0.87,0.93,1.04,0.86,1.31,1.76,1.94,2.11,2.16,2.09
Profit before tax,0.14,0.08,0.09,0.18,0.24,0.21,0.31,0.12,0.4,0.26,0.16,0.15,-0.82
Tax %,64.29,75.0,44.44,33.33,37.5,52.38,38.71,600.0,50.0,-50.0,-18.75,-60.0,
Net Profit,0.05,0.02,0.05,0.11,0.15,0.1,0.19,-0.6,0.2,0.39,0.19,0.24,-0.73
EPS in Rs,0.1,0.04,0.1,0.12,0.17,0.11,0.21,-0.66,0.22,0.43,0.21,0.26,-0.81
