,2023-03-01,2023-09-01
Equity Capital,7.48,7.48
Reserves,-2.05,0.5700000000000001
Borrowings,1.59,2.13
Other Liabilities,3.96,4.33
Total Liabilities,10.98,14.51
Fixed Assets,1.93,1.91
CWIP,0.0,0.0
Investments,1.0,1.0
Other Assets,8.05,11.6
Total Assets,10.98,14.51
