,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.79,15.99,17.59,18.71,20.36,18.79,23.11,22.0,25.33,19.15,30.86,28.02,28.75
Expenses,12.51,13.2,15.21,16.57,17.34,17.49,19.3,19.89,22.88,18.51,25.12,24.99,25.96
Operating Profit,2.28,2.79,2.38,2.14,3.02,1.3,3.81,2.11,2.45,0.64,5.74,3.03,2.79
OPM %,15.42,17.45,13.53,11.44,14.83,6.92,16.49,9.59,9.67,3.34,18.6,10.81,9.70
Other Income,0.04,0.13,0.3,-0.54,0.14,0.13,0.22,0.5,0.73,0.52,0.39,0.32,0.35
Interest,1.58,1.53,1.39,1.38,1.34,1.36,1.39,1.36,1.39,1.14,0.98,0.89,0.90
Depreciation,0.67,0.71,0.81,1.19,1.16,1.12,1.15,1.2,1.24,1.27,1.17,1.18,1.15
Profit before tax,0.07,0.68,0.48,-0.97,0.66,-1.05,1.49,0.05,0.55,-1.25,3.98,1.28,1.09
Tax %,0.0,0.0,8.33,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,0.0,30.47,
Net Profit,0.07,0.69,0.45,-0.97,0.65,-1.06,1.5,0.05,0.55,-1.25,3.98,0.89,0.69
EPS in Rs,0.09,0.92,0.6,-1.3,0.87,-1.42,2.01,0.07,0.74,-1.67,5.33,1.19,0.92
