,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,84.0,65.0,110.0,56.0,125.0,115.0,133.0,175.0
Expenses,77.0,60.0,100.0,51.0,116.0,106.0,117.0,158.0
Operating Profit,7.0,5.0,10.0,5.0,10.0,9.0,16.0,17.0
OPM %,9.0,8.0,9.0,9.0,8.0,8.0,12.0,10.0
Other Income,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Interest,4.0,2.0,3.0,3.0,3.0,5.0,6.0,6.0
Depreciation,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0
Profit before tax,3.0,2.0,6.0,1.0,6.0,3.0,10.0,8.0
Tax %,33.0,26.0,27.0,25.0,23.0,25.0,23.0,27.0
Net Profit,2.0,2.0,4.0,1.0,4.0,2.0,8.0,6.0
EPS in Rs,1.44,1.07,2.44,0.24,1.95,1.05,3.53,2.41
