,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.0,71.0,107.0,129.0,170.0,172.0,179.0,245.0,308
Expenses,5.0,66.0,101.0,121.0,156.0,157.0,163.0,219.0,274
Operating Profit,0.0,5.0,6.0,8.0,14.0,15.0,15.0,26.0,33
OPM %,5.0,8.0,6.0,6.0,8.0,9.0,9.0,11.0,11
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3
Interest,0.0,2.0,2.0,3.0,6.0,6.0,7.0,12.0,13
Depreciation,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5
Profit before tax,0.0,2.0,3.0,4.0,7.0,8.0,6.0,14.0,18
Tax %,50.0,23.0,25.0,28.0,28.0,27.0,23.0,23.0,
Net Profit,0.0,2.0,2.0,3.0,5.0,6.0,5.0,10.0,14
EPS in Rs,0.03,1.11,1.73,2.12,3.09,3.45,2.19,4.59,5.94
