,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,40.04,26.05,41.73,30.41,39.8,41.48,47.97,64.44,59.52,67.69,80.5,69.53,89.87
Expenses,36.71,25.1,38.48,29.67,35.79,40.93,41.05,59.7,54.62,62.27,77.35,64.58,82.13
Operating Profit,3.33,0.95,3.25,0.74,4.01,0.55,6.92,4.74,4.9,5.42,3.15,4.95,7.74
OPM %,8.32,3.65,7.79,2.43,10.08,1.33,14.43,7.36,8.23,8.01,3.91,7.12,8.61
Other Income,0.57,0.48,0.48,0.15,0.1,0.09,0.25,0.46,0.04,0.29,0.62,0.32,0.48
Interest,2.22,1.92,2.45,2.34,2.51,2.58,2.94,2.66,3.12,3.47,2.47,3.41,4.61
Depreciation,0.49,0.36,0.41,0.44,0.28,0.31,0.37,0.31,0.31,0.32,0.32,0.3,0.31
Profit before tax,1.19,-0.85,0.87,-1.89,1.32,-2.25,3.86,2.23,1.51,1.92,0.98,1.56,3.3
Tax %,-4.2,4.71,89.66,14.29,-7.58,11.56,23.83,-7.17,37.75,18.23,541.84,18.59,-1.21
Net Profit,1.24,-0.82,0.08,-1.61,1.42,-1.99,2.94,2.4,0.94,1.57,-4.33,1.27,3.33
EPS in Rs,1.44,-0.95,0.09,-1.86,1.64,-2.3,3.4,2.78,1.09,1.82,-5.01,1.47,3.85
