,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,70.12,70.86,70.86,67.44,67.04,66.69,64.9,61.09,61.09,61.23,61.23,61.33
Public,29.88,29.14,29.14,32.56,32.96,33.31,35.1,38.91,38.91,38.77,38.76,38.68
No. of Shareholders,351.0,788.0,861.0,972.0,1868.0,2595.0,2578.0,9111.0,6810.0,6561.0,6293.0,6131.0
