,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,4,4,4,4,4,4,4,4,5,5
Reserves,9,70,87,97,168,196,226,275,297,421,509
Borrowings,54,33,58,42,55,104,114,41,56,139,131
Other Liabilities,35,23,27,55,47,81,71,77,112,182,220
Total Liabilities,102,130,177,198,275,386,416,397,469,747,865
Fixed Assets,12,12,24,23,32,29,79,67,96,184,209
CWIP,0,0,0,1,0,0,0,0,20,0,11
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets,90,117,152,174,243,357,336,330,353,563,645
Total Assets,102,130,177,198,275,386,416,397,469,747,865
