,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,45.0,84.0,76.0,120.0,81.0,101.0,60.0,141.0,159.0,67.0,80
Expenses,10.0,17.0,24.0,61.0,36.0,72.0,54.0,40.0,37.0,29.0,31
Operating Profit,36.0,67.0,52.0,59.0,45.0,29.0,5.0,101.0,121.0,38.0,49
OPM %,79.0,80.0,69.0,49.0,55.0,29.0,9.0,72.0,76.0,57.0,61
Other Income,0.0,0.0,2.0,1.0,3.0,3.0,0.0,20.0,25.0,14.0,19
Interest,0.0,2.0,3.0,5.0,7.0,3.0,4.0,3.0,5.0,6.0,10
Depreciation,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0
Profit before tax,36.0,65.0,49.0,53.0,39.0,27.0,-1.0,116.0,139.0,46.0,58
Tax %,7.0,7.0,8.0,12.0,23.0,14.0,-815.0,16.0,15.0,17.0,
Net Profit,33.0,75.0,39.0,51.0,30.0,24.0,-8.0,98.0,118.0,39.0,53
EPS in Rs,11.99,27.04,13.45,18.39,11.18,8.3,-3.01,35.68,43.37,14.23,19.21
