,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,26,26,26,26,26,27,27,27,27,27,27
Reserves,752,815,842,890,1043,1050,932,1191,1403,1438,1568
Borrowings,0,26,38,55,44,33,28,31,37,141,124
Other Liabilities,38,43,47,45,99,95,70,112,130,127,180
Total Liabilities,816,909,953,1015,1212,1204,1057,1361,1597,1733,1899
Fixed Assets,18,39,50,48,49,49,47,47,40,29,29
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,615,686,753,688,893,898,700,976,1229,1336,1477
Other Assets,183,183,150,280,270,257,309,338,328,368,393
Total Assets,816,909,953,1015,1212,1204,1057,1361,1597,1733,1899
