,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,183.0,198.0,193.0,160.0,195.0,169.0,220.0,207.0,227.0,249.0,235.0,215.0,253.0
Expenses,80.0,88.0,78.0,72.0,86.0,82.0,92.0,95.0,106.0,109.0,105.0,109.0,102.0
Operating Profit,103.0,110.0,116.0,88.0,109.0,87.0,128.0,112.0,121.0,140.0,130.0,106.0,151.0
OPM %,56.0,55.0,60.0,55.0,56.0,51.0,58.0,54.0,53.0,56.0,55.0,49.0,60.0
Other Income,13.0,8.0,9.0,-4.0,-2.0,17.0,13.0,-2.0,5.0,-1.0,11.0,14.0,25.0
Interest,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0
Depreciation,34.0,33.0,33.0,33.0,33.0,32.0,31.0,30.0,29.0,30.0,28.0,29.0,29.0
Profit before tax,81.0,84.0,90.0,50.0,73.0,71.0,109.0,77.0,95.0,108.0,111.0,89.0,145.0
Tax %,35.0,35.0,28.0,35.0,37.0,38.0,34.0,26.0,26.0,26.0,25.0,26.0,26.0
Net Profit,52.0,54.0,65.0,32.0,46.0,44.0,72.0,58.0,71.0,79.0,84.0,66.0,108.0
EPS in Rs,1.08,1.12,1.35,0.67,0.94,0.91,1.48,1.19,1.47,1.64,1.74,1.36,2.23
