,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.82,2.29,2.27,1.81,1.27,1.22,1.67,1.61,0.6,0.00,0.44,1.9,1.32
Expenses,1.41,1.4,1.43,1.25,1.25,1.3,1.34,1.18,8.71,0.32,0.8,2.12,1.48
Operating Profit,0.41,0.89,0.84,0.56,0.02,-0.08,0.33,0.43,-8.11,-0.32,-0.36,-0.22,-0.16
OPM %,22.53,38.86,37.0,30.94,1.57,-6.56,19.76,26.71,-1351.67,,-81.82,-11.58,-12.12
Other Income,0.18,0.33,0.24,0.38,0.46,0.61,0.63,0.43,0.3,1.25,0.9,0.55,0.55
Interest,0.05,0.06,0.06,0.04,0.01,0.05,0.01,0.0,0.0,0.00,0.0,0.01,0.00
Depreciation,0.5,0.49,0.33,0.3,0.26,0.22,0.12,0.06,0.03,0.02,0.01,0.01,0.00
Profit before tax,0.04,0.67,0.69,0.6,0.21,0.26,0.83,0.8,-7.84,0.91,0.53,0.31,0.39
Tax %,-125.0,31.34,28.99,28.33,14.29,15.38,14.46,27.5,25.64,23.08,-1.89,3.23,
Net Profit,0.09,0.47,0.49,0.43,0.18,0.22,0.7,0.58,-5.82,0.71,0.54,0.3,0.41
EPS in Rs,0.29,1.51,1.58,1.38,0.58,0.71,2.25,1.87,-18.72,2.28,1.74,0.97,1.32
