,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.42,24.41,16.34,3.9,12.6,3.54,2.21,0.95
Expenses,13.13,22.41,16.3,4.09,14.73,4.14,3.62,2.34
Operating Profit,2.29,2.0,0.04,-0.19,-2.13,-0.6,-1.41,-1.39
OPM %,14.85,8.19,0.24,-4.87,-16.9,-16.95,-63.8,-146.32
Other Income,0.07,0.07,0.16,0.25,0.21,1.41,1.5,2.23
Interest,1.21,1.44,1.52,1.31,0.04,1.29,1.09,1.04
Depreciation,0.08,0.12,0.2,0.16,0.15,0.11,0.1,0.10
Profit before tax,1.07,0.51,-1.52,-1.41,-2.11,-0.59,-1.1,-0.30
Tax %,31.78,27.45,23.03,24.11,24.17,32.2,24.55,
Net Profit,0.74,0.37,-1.17,-1.07,-1.6,-0.4,-0.84,-0.30
EPS in Rs,2.1,0.53,-1.66,-1.52,-2.27,-0.57,-1.09,-0.39
