,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,1.59,1.8,10.8,1.79,1.75,2.1,0.11,0.84
Expenses,0.73,3.06,11.66,1.81,2.33,2.6,1.06,1.28
Operating Profit,0.86,-1.26,-0.86,-0.02,-0.58,-0.5,-0.95,-0.44
OPM %,54.09,-70.0,-7.96,-1.12,-33.14,-23.81,-863.64,-52.38
Other Income,0.09,0.08,0.13,0.0,1.41,0.02,1.48,0.75
Interest,1.22,0.02,0.03,0.68,0.61,0.55,0.5,0.54
Depreciation,0.04,0.08,0.07,0.05,0.05,0.05,0.05,0.05
Profit before tax,-0.31,-1.28,-0.83,-0.75,0.17,-1.08,-0.02,-0.28
Tax %,112.9,0.0,61.45,0.0,-111.76,25.0,0.0,0.0
Net Profit,0.04,-1.28,-0.32,-0.75,0.36,-0.81,-0.02,-0.28
EPS in Rs,0.06,-1.82,-0.45,-1.07,0.51,-1.05,-0.03,-0.36
