,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.52,7.04,7.04,7.04,7.04,7.04,7.74,7.04
Reserves,7.4,4.25,3.08,2.01,0.41,0.02,0.23,-0.05
Borrowings,11.78,13.08,11.82,11.17,17.34,12.64,11.14,10.71
Other Liabilities,29.2,19.48,11.48,12.24,6.18,3.0,3.05,2.67
Total Liabilities,51.9,43.85,33.42,32.46,30.97,22.7,22.16,21.07
Fixed Assets,2.5700000000000003,3.26,3.06,2.89,2.55,2.41,2.31,2.27
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0
Other Assets,49.33,40.29,30.06,29.27,28.42,20.29,19.85,18.8
Total Assets,51.9,43.85,33.42,32.46,30.97,22.7,22.16,21.07
