,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,10,10,10,10,10,10
Reserves,713,750,799,875,1779,1356,1023,1736,2319,3063,4047
Borrowings,190,133,108,97,88,138,323,305,1216,979,1237
Other Liabilities,592,589,515,597,829,938,954,1145,3241,3481,3650
Total Liabilities,1504,1482,1432,1578,2706,2441,2310,3196,6786,7533,8944
Fixed Assets,553,548,556,587,599,650,897,1057,2780,3109,3262
CWIP,23,31,8,19,76,62,144,243,418,423,434
Investments,423,422,511,505,1423,933,541,1068,1190,1575,2618
Other Assets,505,480,357,467,608,796,728,828,2398,2426,2630
Total Assets,1504,1482,1432,1578,2706,2441,2310,3196,6786,7533,8944
