,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,372.0,371.0,453.0,512.0,364.0,355.0,510.0,772.0,850
Expenses,311.0,295.0,362.0,426.0,304.0,293.0,444.0,674.0,749
Operating Profit,61.0,76.0,91.0,86.0,60.0,62.0,66.0,98.0,101
OPM %,16.0,20.0,20.0,17.0,17.0,17.0,13.0,13.0,12
Other Income,1.0,7.0,6.0,7.0,6.0,2.0,3.0,6.0,2
Interest,6.0,6.0,4.0,4.0,6.0,8.0,7.0,9.0,10
Depreciation,13.0,17.0,18.0,19.0,24.0,26.0,27.0,32.0,32
Profit before tax,43.0,60.0,75.0,70.0,36.0,30.0,35.0,63.0,62
Tax %,35.0,35.0,35.0,35.0,15.0,23.0,27.0,24.0,
Net Profit,28.0,39.0,49.0,45.0,30.0,24.0,26.0,48.0,47
EPS in Rs,8.2,11.43,13.62,12.52,8.47,6.53,7.09,13.29,13.11
