,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,7,7,7,7,7,7,7,7
Reserves,122,153,237,273,299,324,349,393,412
Borrowings,69,40,34,99,75,105,126,133,136
Other Liabilities,48,67,72,78,63,79,83,122,120
Total Liabilities,246,267,351,458,444,516,565,656,674
Fixed Assets,139,165,159,192,263,257,280,275,281
CWIP,1,0,10,47,1,0,1,11,5
Investments,0,1,56,56,17,26,23,20,15
Other Assets,107,101,126,163,163,233,260,349,373
Total Assets,246,267,351,458,444,516,565,656,674
