,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,17.6,35.18,40.15,46.0,30.06,28.57,28.37,20.58,38.33,20.91,23.16,21.06,20.99
Expenses,16.12,32.14,36.63,42.95,26.81,24.66,25.01,19.42,37.61,20.8,22.54,20.59,20.50
Operating Profit,1.48,3.04,3.52,3.05,3.25,3.91,3.36,1.16,0.72,0.11,0.62,0.47,0.49
OPM %,8.41,8.64,8.77,6.63,10.81,13.69,11.84,5.64,1.88,0.53,2.68,2.23,2.33
Other Income,0.8,0.15,0.44,1.19,0.35,0.38,1.05,1.05,0.89,1.22,1.18,1.02,1.00
Interest,1.14,1.26,0.75,0.6,0.71,0.44,0.15,0.39,0.56,0.18,0.2,0.21,0.21
Depreciation,0.92,0.91,0.91,0.56,0.38,0.3,0.37,0.45,0.46,0.47,0.44,0.39,0.36
Profit before tax,0.22,1.02,2.3,3.08,2.51,3.55,3.89,1.37,0.59,0.68,1.16,0.89,0.92
Tax %,27.27,37.25,33.48,36.04,38.65,33.52,26.74,29.2,27.12,13.24,31.03,25.84,
Net Profit,0.15,0.64,1.53,1.98,1.53,2.36,2.85,0.97,0.44,0.58,0.8,0.66,0.94
EPS in Rs,0.32,1.25,2.98,3.86,2.98,4.6,5.55,1.89,0.86,1.13,1.56,1.29,1.83
