,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.9,34.18,40.0,60.14,53.21,45.2,37.02,40.25,32.44,14.97,22.91,27.81,26.77
Expenses,24.53,31.04,36.38,54.86,48.88,41.26,33.62,37.68,31.04,15.57,20.85,25.48,23.37
Operating Profit,2.37,3.14,3.62,5.28,4.33,3.94,3.4,2.57,1.4,-0.6,2.06,2.33,3.40
OPM %,8.81,9.19,9.05,8.78,8.14,8.72,9.18,6.39,4.32,-4.01,8.99,8.38,12.70
Other Income,0.01,0.0,0.19,0.03,0.02,-0.02,0.01,0.0,0.48,0.59,0.66,1.26,0.00
Interest,1.32,1.51,1.8,2.14,2.05,1.92,1.83,1.66,1.35,1.0,0.92,1.17,1.26
Depreciation,0.34,0.43,0.44,0.37,0.45,0.48,0.53,0.5,0.46,0.45,0.49,0.49,0.50
Profit before tax,0.72,1.2,1.57,2.8,1.85,1.52,1.05,0.41,0.07,-1.46,1.31,1.93,1.64
Tax %,34.72,38.33,35.03,33.57,34.05,31.58,24.76,29.27,57.14,-2.05,-2.29,26.94,
Net Profit,0.47,0.74,1.02,1.85,1.21,1.03,0.79,0.28,0.04,-1.49,1.33,1.41,1.21
EPS in Rs,0.81,1.28,1.76,3.2,2.09,1.78,1.36,0.48,0.07,-2.57,2.3,2.44,2.10
