,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.02,1.24,5.22,6.79
Expenses,0.11,1.9,5.65,6.77
Operating Profit,-0.09,-0.66,-0.43,0.02
OPM %,-450.00,-53.23,-8.24,0.29
Other Income,0.09,0.67,0.06,0.10
Interest,0.00,0.02,0.61,1.03
Depreciation,0.00,0.05,1.08,1.59
Profit before tax,0.00,-0.06,-2.06,-2.50
Tax %,,0.0,0.0,
Net Profit,0.00,-0.07,-2.06,-2.49
EPS in Rs,0.00,-0.16,-5.11,-5.81
